Tottenham,7,1,3,24
Man United,6,3,1,19
Man. City,5,2,3,18
West Ham,5,4,2,17
Everton,5,4,2,17
Wolves,5,4,2,17
Crystal Palace,5,5,1,16
Aston Villa,5,4,0,15
Newcastle,4,4,2,14
Liverpool,7,1,3,24
Chelsea,6,1,4,22
Leicester City,7,4,0,21
Southampton,6,3,2,20
Brighton,2,5,4,10
Sheffield United,0,10,1,1
Leeds United,4,5,2,14
Arsenal,4,6,1,13
