Atletico Madrid,8,0,2,26
Real Sociedad,7,1,4,25
Villarreal,5,1,6,21
Real Madrid,6,3,2,20
Cadiz,5,4,3,18
Sevilla,5,4,1,16
Granada,4,4,3,15
Real Betis,5,7,0,15
Barcelona,4,4,2,14
Elche,3,2,5,14
Eibar,3,4,5,14
Alaves,3,4,5,14
Valencia,3,5,4,13
Athletic Club,4,6,1,13
Getafe,3,4,4,13
Celta Vigo,3,5,4,13
Levante,2,4,5,11
Osasuna,3,6,2,11
Valladolid,2,6,4,10
